,index,timestamp,coursename,degree,heard_hs_counselor,heard_hs_teacher,heard_it_website,heard_ccm_admissions,heard_employer,heard_work_dev,heard_nj_work_dev,first_choice,interest_level,race,gender
0,0,2020/07/28 3:21:36 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Black/African American,Man
1,1,2020/07/28 4:07:22 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,Nursing,,Multi-Racial,Woman
2,2,2020/07/28 8:12:47 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
3,3,2020/07/29 10:53:03 AM EST,CMP 239 Internet & Web Page Design,Non Degree seeking,,,,,,,,,4.0,Asian,Woman
4,4,2020/07/29 4:26:21 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
5,5,2020/07/30 1:10:46 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
6,6,2020/07/30 6:01:39 PM EST,CMP 239 Internet & Web Page Design,Web Development Certificate of Achievement,No,No,Yes,Yes,No,No,No,completed a degree in Business Administration,,White/Caucasian,Woman
7,7,2020/07/30 7:58:48 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
8,8,2020/07/31 1:58:09 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,undecided ,,Asian,Man
9,9,2020/08/02 7:04:38 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Asian,Man
10,10,2020/08/03 11:24:59 AM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
11,11,2020/08/03 12:00:01 PM EST,CMP 239 Internet & Web Page Design,Engineering Science,,,,,,,,,5.0,White/Caucasian,Man
12,12,2020/08/03 2:01:43 PM EST,CMP 239 Internet & Web Page Design,"Digital Media Technology, Applied Associate of Science",No,No,No,No,No,No,No,Animation ,,White/Caucasian,Man
13,13,2020/09/08 10:47:44 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,5.0,Hispanic or Latino,Man
14,14,2020/09/09 9:21:38 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Man
15,15,2020/09/09 9:27:47 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,I changed it a couple times. First one was game design.,,Hispanic or Latino,Woman
16,16,2020/09/09 9:59:49 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,No,Yes,No,No,No,MET/ES Dual Degree,,White/Caucasian,Man
17,17,2020/09/09 10:15:32 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,Asian,Woman
18,18,2020/09/09 10:43:41 AM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,5.0,Multi-Racial,Woman
19,19,2020/09/09 12:37:11 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Nursing,,Black/African American,Woman
20,20,2020/09/09 12:37:16 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,I was a musical theatre major first but the program that I wanted to transfer too would not accept CCM credits.,,White/Caucasian,Man
21,21,2020/09/09 1:21:27 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
22,22,2020/09/09 2:28:37 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,Asian,Woman
23,23,2020/09/09 4:18:53 PM EST,CMP 128 Computer Science I,Challenger Program,Yes,No,No,No,No,No,No,First Choice,,Asian,Man
24,24,2020/09/09 4:47:03 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,Asian,Man
25,25,2020/09/09 6:34:29 PM EST,CMP 239 Internet & Web Page Design,Undecided,,,,,,,,,5.0,Hispanic or Latino,Man
26,26,2020/09/09 6:35:29 PM EST,CMP 239 Internet & Web Page Design,Non Degree seeking,,,,,,,,,5.0,Hispanic or Latino,Woman
27,27,2020/09/09 6:36:37 PM EST,CMP 239 Internet & Web Page Design,Business Administration,,,,,,,,,2.0,Hispanic or Latino,Woman
28,28,2020/09/10 10:25:38 AM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
29,29,2020/09/10 10:34:47 AM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,Yes,No,No,No,radiography,,White/Caucasian,Woman
30,30,2020/09/10 11:31:16 AM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,1.0,Multi-Racial,Man
31,31,2020/09/10 12:40:05 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology ,,,,,,,,,3.0,White/Caucasian,Man
32,32,2020/09/10 12:55:21 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
33,33,2020/09/10 1:05:00 PM EST,CMP 128 Computer Science I,"Mechanical Engineering, Associate in Applied Science",,,,,,,,,3.0,Hispanic or Latino,Woman
34,34,2020/09/10 1:35:39 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,Hispanic or Latino,Woman
35,35,2020/09/10 2:18:06 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,Asian,Man
36,36,2020/09/10 2:20:05 PM EST,CMP 128 Computer Science I,Mechanical Engineering Tech,,,,,,,,,3.0,White/Caucasian,Man
37,37,2020/09/10 2:21:30 PM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,4.0,White/Caucasian,Woman
38,38,2020/09/10 2:24:14 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,Mechanical Engineering and Technology ,,Hispanic or Latino,Man
39,39,2020/09/10 2:28:11 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,No,No,No,No,First Choice,,Asian,Prefer not to say
40,40,2020/09/10 4:28:40 PM EST,CMP 128 Computer Science I,Architecture and Design ,,,,,,,,,4.0,Black/African American,Man
41,41,2020/09/10 4:31:28 PM EST,CMP 128 Computer Science I,Architecture and Design ,,,,,,,,,4.0,Black/African American,Man
42,42,2020/09/10 4:42:03 PM EST,CMP 128 Computer Science I,mechanical engineering ,,,,,,,,,4.0,White/Caucasian,Man
43,43,2020/09/10 4:55:42 PM EST,CMP 128 Computer Science I,"Nursing, Associate of Science",,,,,,,,,1.0,Multi-Racial,Woman
44,44,2020/09/10 8:32:53 PM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,5.0,Hispanic or Latino,Man
45,45,2020/09/10 10:08:35 PM EST,CMP 128 Computer Science I,Engineering,,,,,,,,,3.0,White/Caucasian,Man
46,46,2020/09/11 12:12:02 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,Yes,No,No,No,musical theatre,,White/Caucasian,Man
47,47,2020/09/11 8:09:02 AM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,White/Caucasian,Man
48,48,2020/09/11 8:09:06 AM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,White/Caucasian,Man
49,49,2020/09/11 9:00:19 AM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,5.0,White/Caucasian,Man
50,50,2020/09/11 9:38:49 AM EST,CMP 128 Computer Science I,electrical engineering ,,,,,,,,,3.0,White/Caucasian,Woman
51,51,2020/09/11 9:41:36 AM EST,CMP 128 Computer Science I,electrical engineering ,,,,,,,,,3.0,White/Caucasian,Woman
52,52,2020/09/11 12:37:01 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,Black/African American,Man
53,53,2020/09/11 12:43:10 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,4.0,Hispanic or Latino,Man
54,54,2020/09/11 2:49:04 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
55,55,2020/09/12 10:06:57 AM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
56,56,2020/09/12 1:01:39 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,4.0,Asian,Man
57,57,2020/09/12 2:02:17 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,Hispanic or Latino,Woman
58,58,2020/09/13 4:09:45 PM EST,CMP 239 Internet & Web Page Design,Undecided,,,,,,,,,5.0,Hispanic or Latino,Woman
59,59,2020/09/13 7:10:44 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Woman
60,60,2020/09/13 7:23:30 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Hispanic or Latino,Man
61,61,2020/09/13 7:24:44 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,Yes,Yes,Yes,First Choice,,Asian,Man
62,62,2020/09/14 10:46:57 AM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Choose not to reply,Man
63,63,2020/09/14 11:49:10 AM EST,CMP 128 Computer Science I,Mechanical Engineer Tech,,,,,,,,,3.0,White/Caucasian,Man
64,64,2020/09/14 1:05:34 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,Yes,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
65,65,2020/09/14 1:05:38 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,Yes,No,No,No,No,Exercise Science,,White/Caucasian,Man
66,66,2020/09/14 1:06:31 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology ,,,,,,,,,4.0,Hispanic or Latino,Man
67,67,2020/09/14 1:07:23 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,American Indian/Native American/Alaska Native,Man
68,68,2020/09/14 1:07:42 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
69,69,2020/09/14 1:10:22 PM EST,CMP 128 Computer Science I,Liberal Arts,,,,,,,,,1.0,Multi-Racial,Woman
70,70,2020/09/14 1:10:37 PM EST,CMP 128 Computer Science I,Business,,,,,,,,,1.0,Hispanic or Latino,Woman
71,71,2020/09/14 1:34:46 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Woman
72,72,2020/09/14 1:39:21 PM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
73,73,2020/09/14 1:40:12 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Woman
74,74,2020/09/14 1:41:04 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,3.0,White/Caucasian,Man
75,75,2020/09/14 1:43:55 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,Multi-Racial,Man
76,76,2020/09/14 2:49:18 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,No,No,No,No,No,Mathematics,,Asian,Man
77,77,2020/09/14 3:18:49 PM EST,CMP 128 Computer Science I,Associate Degree in Mathematics,,,,,,,,,3.0,White/Caucasian,Woman
78,78,2020/09/14 5:10:08 PM EST,CMP 128 Computer Science I,Electrical Engineering Technology,,,,,,,,,3.0,Choose not to reply,I do not identify
79,79,2020/09/14 5:10:18 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,White/Caucasian,Woman
80,80,2020/09/14 5:10:51 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,3.0,White/Caucasian,Man
81,81,2020/09/14 5:13:02 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,No,No,No,chemical Engineering,,White/Caucasian,Man
82,82,2020/09/14 5:13:04 PM EST,CMP 128 Computer Science I,Math-Education Specialization,,,,,,,,,3.0,Hispanic or Latino,Woman
83,83,2020/09/14 5:14:17 PM EST,CMP 128 Computer Science I,Mechanical Engineer,,,,,,,,,3.0,Hispanic or Latino,Man
84,84,2020/09/14 5:14:29 PM EST,CMP 128 Computer Science I,mechanical engineering tech,,,,,,,,,3.0,White/Caucasian,Man
85,85,2020/09/14 5:17:10 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
86,86,2020/09/14 5:20:03 PM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,This is a requirement for my mechanical engineering major ,,Hispanic or Latino,Man
87,87,2020/09/14 5:20:38 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Nursing,,Hispanic or Latino,Man
88,88,2020/09/14 5:23:27 PM EST,CMP 128 Computer Science I,Elec Engineering Tech,,,,,,,,,5.0,White/Caucasian,Man
