,index,timestamp,coursename,degree,heard_hs_counselor,heard_it_website,heard_ccm_admissions,heard_ccm_advisor,heard_employer,interest_level,gender,race,age,comp_int
0,0,2020/07/08 10:30:22 AM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,Yes,No,No,No,3.0,Woman,White/Caucasian,35-64,
1,1,2020/07/08 11:15:08 AM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,Yes,No,No,1.0,Woman,White/Caucasian,21-24,
2,2,2020/07/08 11:22:23 AM EST,CMP 135 Computer Concepts with Applications,Computer Science,No,Yes,No,No,No,5.0,Man,Multi-Racial,25-34,
3,3,2020/07/08 2:14:53 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,No,No,1.0,Woman,White/Caucasian,21-24,
4,4,2020/07/08 3:34:11 PM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,No,No,5.0,Man,Hispanic or Latino,25-34,
5,5,2020/07/09 1:38:32 PM EST,CMP 135 Computer Concepts with Applications,Exercise Science,No,Yes,Yes,Don't recall,No,3.0,Man,Choose not to reply,19-20,
6,6,2020/07/11 9:34:30 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,No,Yes,No,5.0,Woman,White/Caucasian,19-20,
7,7,2020/07/17 11:41:59 AM EST,CMP 135 Computer Concepts with Applications,Radiography,Don't recall,Don't recall,Yes,Don't recall,Don't recall,4.0,Woman,White/Caucasian,19-20,
8,8,2020/07/20 10:38:05 AM EST,CMP 135 Computer Concepts with Applications,Mathematics,No,No,No,Yes,No,4.0,Man,Multi-Racial,19-20,
9,9,2020/07/21 4:32:09 PM EST,CMP 135 Computer Concepts with Applications,Public Health,No,Yes,No,No,No,2.0,Woman,White/Caucasian,35-64,
10,10,2020/07/25 11:45:59 AM EST,CMP 135 Computer Concepts with Applications,Radiography,No,No,No,No,No,2.0,Woman,White/Caucasian,21-24,
11,11,2020/07/25 12:44:38 PM EST,CMP 135 Computer Concepts with Applications,Criminal Justice,No,No,Yes,Yes,No,2.0,Man,Hispanic or Latino,19-20,
12,12,2020/09/08 10:00:50 AM EST,CMP 101 Computer Information Literacy,Public Health,Yes,No,No,No,No,5.0,Woman,White/Caucasian,35-64,
13,13,2020/09/09 7:56:06 AM EST,CMP 101 Computer Information Literacy,Child and Family Studies,No,No,No,No,No,3.0,Woman,White/Caucasian,21-24,
14,14,2020/09/09 8:52:55 AM EST,CMP 126 Computer Technology and Applications,Criminal Justice,No,No,No,Don't recall,No,2.0,Man,Multi-racial,19-20,
15,15,2020/09/09 12:36:15 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts and Sciences,No,No,No,No,No,3.0,Woman,White/Caucasian,19-20,
16,16,2020/09/09 1:16:25 PM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,2.0,Woman,White/Caucasian,25-34,
17,17,2020/09/09 1:52:08 PM EST,CMP 126 Computer Technology and Applications,Comp Aided Drafting Tech,No,No,No,No,No,2.0,Man,White/Caucasian,25-34,
18,18,2020/09/09 2:19:00 PM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,No,No,No,No,4.0,Man,White/Caucasian,19-20,
19,19,2020/09/09 2:30:01 PM EST,CMP 126 Computer Technology and Applications,Liberal Arts and Sciences,No,No,Don't recall,Yes,No,2.0,Woman,White/Caucasian,19-20,
20,20,2020/09/09 3:08:54 PM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,No,No,No,No,No,1.0,Woman,Black/African American,25-34,
21,21,2020/09/09 4:28:49 PM EST,CMP 126 Computer Technology and Applications,Criminal Justice,No,No,No,No,No,1.0,Man,White/Caucasian,21-24,
22,22,2020/09/09 5:02:41 PM EST,CMP 126 Computer Technology and Applications,Not in a degree program,No,No,No,Yes,No,3.0,Man,White/Caucasian,18 and younger,
23,23,2020/09/09 5:14:53 PM EST,CMP 126 Computer Technology and Applications,Child and Family Studies,No,No,No,No,No,2.0,Woman,Multi-racial,19-20,
24,24,2020/09/09 5:22:19 PM EST,CMP 126 Computer Technology and Applications,Early Childhood Education,No,No,No,Yes,No,1.0,Man,White/Caucasian,21-24,
25,25,2020/09/09 5:39:13 PM EST,CMP 101 Computer Information Literacy,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,1.0,Woman,Hispanic or Latino,25-34,
26,26,2020/09/09 6:29:39 PM EST,CMP 126 Computer Technology and Applications,Criminal Justice,No,No,Yes,No,No,4.0,Man,Asian,18 and younger,
27,27,2020/09/09 6:39:46 PM EST,CMP 126 Computer Technology and Applications,Human Services ,Yes,No,Yes,Yes,No,3.0,Woman,Hispanic or Latino,19-20,
28,28,2020/09/09 6:40:55 PM EST,CMP 101 Computer Information Literacy,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,3.0,Woman,White/Caucasian,25-34,
29,29,2020/09/09 7:20:52 PM EST,CMP 101 Computer Information Literacy,Fine Arts Fashion Merchandising ,Don't recall,No,No,Yes,No,2.0,Woman,Asian,21-24,
30,30,2020/09/09 7:34:28 PM EST,CMP 101 Computer Information Literacy,Visual Fine Arts,No,No,Yes,Yes,No,2.0,Woman,White/Caucasian,18 and younger,
